Company,Position
Subsecretaría de Política y Coordinación Económica,Consultor Externo
UN Convention on Biological Diversity,Member of the Expert Panel on Resource Mobilization for the Post-2020 Global Biodiversity Framework
The London School of Economics and Political Science (LSE),Chevening Scholar - Msc. Applied Social Data Science
AG Galpones Industriales SRL,Empleado de administración
Moebius coworking,Comunity manager
Baker McKenzie,Billing Analyst
Economista Freelance,Economista Freelance
Facultad de Ciencias Económicas UNLP,Adscripto Graduado
Universidade Federal de Goiás,Professor Titular
4Told FinTech,Head of Data Science & Machine Learning
TecnoLógicas,Co-Fundadora 
Accenture,Data Science Manager @ Accenture Applied Intelligence
CAF -banco de desarrollo de América Latina-,Consultor externo
Gobierno de la Ciudad de Buenos Aires,Consultor Externo de Evaluación de Gasto
Ministerio de Producción y Trabajo de la Nación,Economic Advisor to the Foreing Trade Secretary
Autos Ciara S.A - Renault,Responsable de Calidad 
Sofia Contreras ,Innovation & Business Strategic Designer
BB-BUSINESS BUREAU,Data Science Analyst
InvoiTrade,Presidente & CEO
Gobierno de la Provincia de Buenos Aires,Analista superior de datos
Oracle,Consultora funcional en el área de finanzas para ERP
Oracle,Managing Director
Telefónica,BI analytics analyst 
Secretaría de Evaluación Educativa - Ministerio de Educación, Cultura, Ciencia y Tecnología ,Analista Estadística
Municipalidad de la plata,Empleado de administración en la subsecretaria de planeamiento y movilidad urbana
Oracle,Managing Principal Consultant
Oracle,CX Consultant
Instituto Tecnológico Autónomo de México,Catedrático adjunto
Management Solutions,Business Consultant
PxQ Consultora,Economista
Municipalidad de 25 de Mayo,Secretario administrativo
Arcos Dorados,EPM Consultant
Baufest,Technical Expert
AFC - Administracion, Finanzas y Consultores S.C.,Liquidacion de Impuestos
Consultor,Consultor en análisis de datos en gran escala para proyectos urbanos y territoriales
Optica Trevelin,Servicio de atención al cliente
Direccion General Estadísticas y Censos,Responsable de Seguimiento Direccion de Legales Normas de Calidad ISO
Oracle,CX Consultant
Data IQ - Qlik Select Master Reseller,Analista Funcional Proyectos de RRHH
OMD Human Resources Consulting,Director de la División OMD HR Analytics
Oracle,Principal Consultant Oracle NetSuite
