"","Company","Position"
"165","INDEC Argentina","Data Analyst"
"166","Gobierno de la Ciudad de Buenos Aires","Analista de Presupuesto Secretaria de Integración Social y Urbana"
"167","PsicoAQ","Socio Fundador "
"168","Subsecretaría de Política y Coordinación Económica","Consultor Externo"
"169","UN Convention on Biological Diversity","Member of the Expert Panel on Resource Mobilization for the Post-2020 Global Biodiversity Framework"
"170","The London School of Economics and Political Science (LSE)","Chevening Scholar - Msc. Applied Social Data Science"
"171","AG Galpones Industriales SRL","Empleado de administración"
"172","Moebius coworking","Comunity manager"
"173","Baker McKenzie","Billing Analyst"
"174","Economista Freelance","Economista Freelance"
"175","Facultad de Ciencias Económicas UNLP","Adscripto Graduado"
"176","Universidade Federal de Goiás","Professor Titular"
"177","4Told FinTech","Head of Data Science & Machine Learning"
"178","TecnoLógicas","Co-Fundadora "
"179","Accenture","Data Science Manager @ Accenture Applied Intelligence"
"180","CAF -banco de desarrollo de América Latina-","Consultor externo"
"181","Gobierno de la Ciudad de Buenos Aires","Consultor Externo de Evaluación de Gasto"
"182","",""
"183","Ministerio de Producción y Trabajo de la Nación","Economic Advisor to the Foreing Trade Secretary"
"184","Autos Ciara S.A - Renault","Responsable de Calidad "
"185","Sofia Contreras ","Innovation & Business Strategic Designer"
"186","BB-BUSINESS BUREAU","Data Science Analyst"
"187","InvoiTrade","Presidente & CEO"
"188","Gobierno de la Provincia de Buenos Aires","Analista superior de datos"
"189","Oracle","Consultora funcional en el área de finanzas para ERP"
"190","Oracle","Managing Director"
"191","Telefónica","BI analytics analyst "
"192","Secretaría de Evaluación Educativa - Ministerio de Educación, Cultura, Ciencia y Tecnología ","Analista Estadística"
"193","Municipalidad de la plata","Empleado de administración en la subsecretaria de planeamiento y movilidad urbana"
"194","Oracle","Managing Principal Consultant"
"195","Oracle","CX Consultant"
"196","Instituto Tecnológico Autónomo de México","Catedrático adjunto"
"197","Management Solutions","Business Consultant"
"198","PxQ Consultora","Economista"
"199","Municipalidad de 25 de Mayo","Secretario administrativo"
"200","Arcos Dorados","EPM Consultant"
"201","Baufest","Technical Expert"
"202","AFC - Administracion, Finanzas y Consultores S.C.","Liquidacion de Impuestos"
"203","Consultor","Consultor en análisis de datos en gran escala para proyectos urbanos y territoriales"
"204","Optica Trevelin","Servicio de atención al cliente"
"205","Direccion General Estadísticas y Censos","Responsable de Seguimiento Direccion de Legales Normas de Calidad ISO"
"206","Oracle","CX Consultant"
"207","Data IQ - Qlik Select Master Reseller","Analista Funcional Proyectos de RRHH"
"208","OMD Human Resources Consulting","Director de la División OMD HR Analytics"
"209","Oracle","Principal Consultant Oracle NetSuite"
"210","E.E.S.T Nº 4 ""I Brigada Aerea El palomar Profesor Hector A. Laguarde""","Pasante"
"211","HSBC","Pasante en Mesa de Dinero"
"212","Banco Galicia","Analista"
"213","IMEPHO materiales de construccion ","President"
"214","(PROTASAN) Procesadora de tabaco artesanal de santander","Comerciante"
"215","Vicentin SAIC","RRHH Selectora - Analista Corporativo"
"216","Varias entidades","martilleros matriculados"
"217","Tienda Nube","pendiente"
"218","PepsiCo","Coordinador administrativo de +Vida"
"219","Real Planning","Director de Real Planning S.A"
